Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
49.57,12.4507,3.0811,3.1481,3.1321,3.0894,3.0811,6.2292,9.3613,12.4507,0.0373,17.23
50.07,12.4507,3.1008,3.1367,3.1238,3.0894,3.1008,6.2375,9.3613,12.4507,0.0373,18.70
50.56,12.4507,3.0860,3.1432,3.1321,3.0894,3.0860,6.2292,9.3613,12.4507,0.0373,18.70
51.06,12.4507,3.1008,3.1367,3.1238,3.0894,3.1008,6.2375,9.3613,12.4507,0.1119,20.67
51.56,12.4507,3.0663,3.1628,3.1321,3.0894,3.0663,6.2292,9.3613,12.4507,0.0373,18.70
52.06,12.4507,3.1057,3.1235,3.1321,3.0894,3.1057,6.2292,9.3613,12.4507,0.0373,18.21
52.56,12.4322,3.0860,3.1432,3.1321,3.0710,3.0860,6.2292,9.3613,12.4507,0.1864,18.70
53.06,12.4138,3.0811,3.1398,3.1404,3.0525,3.0811,6.2208,9.3613,12.4322,2.1999,18.21
53.56,12.4322,3.0909,3.1382,3.1321,3.0710,3.0909,6.2292,9.3613,12.4138,0.0373,20.18
54.05,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4322,0.0373,18.70
54.55,12.4322,3.0959,3.1333,3.1321,3.0710,3.0959,6.2292,9.3613,12.4507,0.0373,18.70
55.05,12.4322,3.0959,3.1333,3.1459,3.0572,3.0959,6.2292,9.3751,12.4322,0.1119,18.70
55.55,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4322,0.0373,18.21
56.05,12.4322,3.0959,3.1250,3.1404,3.0710,3.0959,6.2208,9.3613,12.4507,0.0373,18.70
56.54,12.4507,3.1057,3.1318,3.1238,3.0894,3.1057,6.2375,9.3613,12.4322,0.1119,19.20
57.04,12.4322,3.0762,3.1530,3.1459,3.0572,3.0762,6.2292,9.3751,12.4507,0.0373,18.21
57.54,12.4507,3.0959,3.1416,3.1238,3.0894,3.0959,6.2375,9.3613,12.4322,0.0373,18.70
58.04,12.4507,3.1008,3.1201,3.1404,3.0894,3.1008,6.2208,9.3613,12.4507,0.0373,18.21
58.56,12.4507,3.0959,3.1333,3.1045,3.1170,3.0959,6.2292,9.3337,12.4507,0.0373,17.72
59.05,12.4507,3.0959,3.1416,3.1376,3.0756,3.0959,6.2375,9.3751,12.4507,0.0373,20.18
59.54,12.4507,3.0860,3.1432,3.1321,3.0894,3.0860,6.2292,9.3613,12.4507,0.0373,20.18
60.06,12.4507,3.0959,3.1416,3.1238,3.0894,3.0959,6.2375,9.3613,12.4507,0.0373,18.70
60.56,12.4322,3.1155,3.1220,3.1238,3.0710,3.1155,6.2375,9.3613,12.4507,0.1119,18.21
61.05,12.4322,3.0909,3.1466,3.1100,3.0848,3.0909,6.2375,9.3475,12.4322,0.0373,18.21
61.55,12.4507,3.1057,3.1318,3.1238,3.0894,3.1057,6.2375,9.3613,12.4322,0.0373,18.70
62.05,12.4507,3.0811,3.1564,3.1238,3.0894,3.0811,6.2375,9.3613,12.4507,0.0373,18.21
62.54,12.4507,3.1155,3.1136,3.1321,3.0894,3.1155,6.2292,9.3613,12.4507,0.0373,19.20
63.04,12.4507,3.0811,3.1481,3.1321,3.0894,3.0811,6.2292,9.3613,12.4507,0.1119,17.72
63.54,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4507,0.0373,19.69
64.05,12.4507,3.0959,3.1250,3.1404,3.0894,3.0959,6.2208,9.3613,12.4507,0.1864,17.23
64.56,12.4507,3.0959,3.1250,3.1266,3.1032,3.0959,6.2208,9.3475,12.4507,0.0373,17.72
65.05,12.4507,3.1205,3.1087,3.1321,3.0894,3.1205,6.2292,9.3613,12.4507,0.1119,19.20
65.54,12.4322,3.1008,3.1284,3.1321,3.0710,3.1008,6.2292,9.3613,12.4507,0.0373,18.21
66.04,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4322,0.1119,18.21
66.54,12.4138,3.0762,3.1530,3.1321,3.0525,3.0762,6.2292,9.3613,12.4507,0.0373,17.72
67.04,12.4691,3.0959,3.1416,3.1238,3.1078,3.0959,6.2375,9.3613,12.4138,0.1119,18.21
67.54,12.4507,3.0713,3.1413,3.1488,3.0894,3.0713,6.2125,9.3613,12.4691,0.0373,18.21
68.04,12.4322,3.0909,3.1466,3.1238,3.0710,3.0909,6.2375,9.3613,12.4507,0.0373,18.70
68.54,12.4507,3.0762,3.1613,3.1238,3.0894,3.0762,6.2375,9.3613,12.4322,0.0373,18.21
69.04,12.4507,3.1057,3.1318,3.1376,3.0756,3.1057,6.2375,9.3751,12.4507,0.0373,18.21
69.54,12.4322,3.0909,3.1382,3.1459,3.0572,3.0909,6.2292,9.3751,12.4507,0.1864,18.70
70.03,12.4138,3.0713,3.1579,3.1321,3.0525,3.0713,6.2292,9.3613,12.4322,0.0373,18.21
70.56,12.4691,3.0959,3.1416,3.1238,3.1078,3.0959,6.2375,9.3613,12.4138,0.1864,18.70
71.04,12.4507,3.0663,3.1462,3.1626,3.0756,3.0663,6.2125,9.3751,12.4691,0.0373,18.21
71.56,12.4322,3.0909,3.1382,3.1459,3.0572,3.0909,6.2292,9.3751,12.4507,0.0373,18.21
72.06,12.4507,3.0811,3.1564,3.1376,3.0756,3.0811,6.2375,9.3751,12.4322,0.1119,18.70
72.56,12.4507,3.1057,3.1235,3.1459,3.0756,3.1057,6.2292,9.3751,12.4507,0.1119,18.70
73.05,12.4691,3.0959,3.1416,3.1238,3.1078,3.0959,6.2375,9.3613,12.4507,0.0373,19.20
73.55,12.4322,3.0762,3.1530,3.1183,3.0848,3.0762,6.2292,9.3475,12.4691,0.0373,18.70
74.05,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4322,0.0373,19.20
74.55,12.4507,3.0959,3.1250,3.1404,3.0894,3.0959,6.2208,9.3613,12.4507,0.0373,18.70
75.05,12.4507,3.0860,3.1432,3.1459,3.0756,3.0860,6.2292,9.3751,12.4507,0.1119,18.70
75.55,12.4322,3.1008,3.1284,3.1321,3.0710,3.1008,6.2292,9.3613,12.4507,0.1119,18.21
76.05,12.4322,3.0860,3.1515,3.1100,3.0848,3.0860,6.2375,9.3475,12.4322,0.0373,18.21
76.55,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4322,0.1119,18.70
77.05,12.4691,3.0811,3.1398,3.1542,3.0940,3.0811,6.2208,9.3751,12.4507,1.3796,19.20
77.55,12.4322,3.0909,3.1382,3.1459,3.0572,3.0909,6.2292,9.3751,12.4691,0.0373,17.72
78.05,12.4507,3.0713,3.1496,3.1266,3.1032,3.0713,6.2208,9.3475,12.4322,0.1864,18.21
